Выборка:
8, Male, Big, Beagle, True, Take
8, Male, Big, Bulldog, False, Take
15, Female, Big, Labrador, False, Take
15, Female, Big, Shepherd, True, Leave
1, Female, Little, Bulldog, True, Leave
1, Female, Medium, Rottweiler, False, Leave
12, Female, Medium, Labrador, True, Take
7, Female, Big, Labrador, True, Take
3, Female, Big, Labrador, True, Take
2, Male, Big, Retriever, True, Leave
11, Male, Big, Labrador, True, Leave
15, Female, Little, Rottweiler, True, Leave
15, Male, Big, Bulldog, True, Leave
13, Female, Big, Bulldog, True, Leave
13, Female, Little, Beagle, True, Leave
3, Male, Big, Bulldog, True, Take
8, Female, Big, Beagle, True, Take
1, Male, Big, Labrador, True, Take
6, Male, Big, Shepherd, True, Leave
10, Male, Little, Shepherd, True, Leave
10, Male, Big, Retriever, True, Leave
1, Female, Little, Shepherd, True, Leave
9, Female, Big, Rottweiler, True, Take
3, Male, Little, Bulldog, True, Leave
2, Female, Medium, Rottweiler, True, Take
11, Female, Big, Retriever, True, Leave
8, Male, Big, Bulldog, True, Take
15, Male, Big, Beagle, True, Leave
2, Male, Medium, Bulldog, True, Take
4, Male, Little, Beagle, True, Take
10, Female, Little, Retriever, False, Leave
10, Male, Big, Labrador, True, Take
15, Male, Little, Bulldog, True, Take
4, Female, Big, Beagle, False, Take
15, Male, Big, Beagle, True, Leave
12, Male, Big, Labrador, True, Leave
8, Female, Big, Labrador, True, Take
2, Male, Big, Bulldog, True, Take
1, Female, Little, Rottweiler, True, Take
2, Male, Big, Labrador, True, Take
2, Female, Big, Shepherd, True, Leave
2, Male, Big, Labrador, True, Take
12, Female, Big, Retriever, True, Leave
10, Female, Medium, Beagle, True, Take
13, Male, Medium, Shepherd, True, Take
12, Male, Little, Labrador, True, Take
10, Female, Medium, Retriever, True, Take
1, Male, Big, Shepherd, True, Leave
7, Female, Big, Beagle, False, Take
4, Female, Big, Bulldog, False, Take
2, Female, Big, Labrador, True, Take
7, Female, Big, Bulldog, True, Take
5, Male, Big, Shepherd, False, Leave
2, Male, Big, Bulldog, True, Take
3, Female, Medium, Retriever, True, Take
1, Male, Medium, Retriever, True, Take
12, Male, Medium, Retriever, True, Take
1, Female, Medium, Retriever, True, Take
1, Male, Little, Rottweiler, False, Leave
6, Male, Little, Rottweiler, True, Take
2, Male, Little, Rottweiler, True, Leave
11, Female, Big, Rottweiler, True, Leave
14, Male, Medium, Rottweiler, True, Take
8, Female, Big, Shepherd, True, Leave
11, Male, Big, Rottweiler, True, Leave
12, Male, Big, Beagle, True, Leave
7, Female, Big, Bulldog, True, Take
14, Female, Big, Bulldog, True, Leave
1, Male, Big, Retriever, True, Leave
11, Male, Big, Labrador, True, Leave
6, Female, Big, Shepherd, True, Leave
6, Male, Medium, Labrador, True, Take
3, Female, Big, Bulldog, True, Take
2, Male, Little, Rottweiler, True, Leave
5, Female, Big, Beagle, True, Take
10, Female, Big, Bulldog, True, Take
